action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,15698907,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CCNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cnc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '17.90', 'le': '0.35', 'lle': '4.31', 'sei': '5.06'}",CHEMBL3612651,,CHEMBL3612651,5.70,0,http://www.openphacts.org/units/Nanomolar,2498964,=,1,1,=,,IC50,nM,,2000.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,2000.0
,,15698908,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,NS(=O)(=O)c1cccc(Nc2ncnc3[nH]cnc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '15.15', 'le': '0.30', 'lle': '3.66', 'sei': '3.47'}",CHEMBL3612652,,CHEMBL3612652,4.40,0,http://www.openphacts.org/units/Nanomolar,2498965,=,1,1,=,,IC50,nM,,40000.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,40000.0
,,15698909,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,O=S(=O)(NO)c1cccc(Nc2ncnc3[nH]cnc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '15.34', 'le': '0.31', 'lle': '3.94', 'sei': '3.54'}",CHEMBL3612653,,CHEMBL3612653,4.70,0,http://www.openphacts.org/units/Nanomolar,2498966,=,1,1,=,,IC50,nM,,20000.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,20000.0
,,15698910,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CN(C)S(=O)(=O)c1cccc(Nc2ncnc3[nH]cnc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '16.01', 'le': '0.32', 'lle': '3.75', 'sei': '4.91'}",CHEMBL3612654,,CHEMBL3612654,5.10,0,http://www.openphacts.org/units/Nanomolar,2498967,=,1,1,=,,IC50,nM,,8000.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,8000.0
,,15698911,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CCS(=O)(=O)c1cccc(Nc2ncnc3[nH]cnc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '17.14', 'le': '0.34', 'lle': '3.31', 'sei': '5.17'}",CHEMBL3612655,,CHEMBL3612655,5.20,0,http://www.openphacts.org/units/Nanomolar,2498968,=,1,1,=,,IC50,nM,,6300.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,6300.0
,,15698912,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cc(Nc2ncnc3[nH]cnc23)ccc1C,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '15.35', 'le': '0.30', 'lle': '3.58', 'sei': '4.34'}",CHEMBL3612656,,CHEMBL3612656,4.89,0,http://www.openphacts.org/units/Nanomolar,2498969,=,1,1,=,,IC50,nM,,13000.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,13000.0
,,15698913,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1ccc(C)c(Nc2ncnc3[nH]cnc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '19.79', 'le': '0.39', 'lle': '4.99', 'sei': '5.59'}",CHEMBL3612657,,CHEMBL3612657,6.30,0,http://www.openphacts.org/units/Nanomolar,2498970,=,1,1,=,,IC50,nM,,500.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,500.0
,,15698914,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(N(C)c2ncnc3[nH]ccc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '16.70', 'le': '0.33', 'lle': '3.67', 'sei': '5.83'}",CHEMBL3612658,,CHEMBL3612658,5.30,0,http://www.openphacts.org/units/Nanomolar,2498971,=,1,1,=,,IC50,nM,,5000.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,5000.0
,,15698915,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Oc2ncnc3[nH]ccc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '15.76', 'le': '0.31', 'lle': '3.14', 'sei': '4.95'}",CHEMBL3612659,,CHEMBL3612659,4.80,0,http://www.openphacts.org/units/Nanomolar,2498972,=,1,1,=,,IC50,nM,,16000.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,16000.0
,,15698916,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cncc(Nc2ncnc3[nH]ccc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '21.69', 'le': '0.43', 'lle': '5.60', 'sei': '5.86'}",CHEMBL3612660,,CHEMBL3612660,6.60,0,http://www.openphacts.org/units/Nanomolar,2498973,=,1,1,=,,IC50,nM,,250.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,250.0
,,15698917,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(C)c23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '23.31', 'le': '0.46', 'lle': '5.48', 'sei': '7.41'}",CHEMBL3612661,,CHEMBL3612661,7.40,0,http://www.openphacts.org/units/Nanomolar,2498974,=,1,1,=,,IC50,nM,,40.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,40.0
,,15698918,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(C(C)C)c23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '19.97', 'le': '0.39', 'lle': '4.17', 'sei': '6.92'}",CHEMBL3612662,,CHEMBL3612662,6.90,0,http://www.openphacts.org/units/Nanomolar,2498975,=,1,1,=,,IC50,nM,,126.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,126.0
,,15698919,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(CC(C)C)c23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '19.19', 'le': '0.38', 'lle': '4.09', 'sei': '6.92'}",CHEMBL3612663,,CHEMBL3612663,6.90,0,http://www.openphacts.org/units/Nanomolar,2498976,=,1,1,=,,IC50,nM,,126.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,126.0
,,15698920,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(F)c23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '21.47', 'le': '0.43', 'lle': '5.15', 'sei': '6.92'}",CHEMBL3612664,,CHEMBL3612664,6.90,0,http://www.openphacts.org/units/Nanomolar,2498977,=,1,1,=,,IC50,nM,,126.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,126.0
,,15698921,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(Cl)c23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '22.19', 'le': '0.47', 'lle': '5.23', 'sei': '7.51'}",CHEMBL3612665,,CHEMBL3612665,7.50,0,http://www.openphacts.org/units/Nanomolar,2498978,=,1,1,=,,IC50,nM,,32.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,32.0
,,15698922,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(Br)c23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '19.61', 'le': '0.47', 'lle': '5.12', 'sei': '7.51'}",CHEMBL3612666,,CHEMBL3612666,7.50,0,http://www.openphacts.org/units/Nanomolar,2498979,=,1,1,=,,IC50,nM,,32.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,32.0
,,15698923,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(-c4ccccc4)c23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '19.50', 'le': '0.37', 'lle': '4.12', 'sei': '7.41'}",CHEMBL3612667,,CHEMBL3612667,7.40,0,http://www.openphacts.org/units/Nanomolar,2498980,=,1,1,=,,IC50,nM,,40.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,40.0
,,15698924,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(-c4ccccc4Cl)c23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '17.87', 'le': '0.36', 'lle': '3.47', 'sei': '7.41'}",CHEMBL3613176,,CHEMBL3613176,7.40,0,http://www.openphacts.org/units/Nanomolar,2499640,=,1,1,=,,IC50,nM,,40.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,40.0
,,15698925,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(-c4cccc(Cl)c4)c23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '17.40', 'le': '0.35', 'lle': '3.27', 'sei': '7.22'}",CHEMBL3613177,,CHEMBL3613177,7.20,0,http://www.openphacts.org/units/Nanomolar,2499641,=,1,1,=,,IC50,nM,,63.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,63.0
